,lstrLevel,lsregion,lscc,province,lsrcode,lsrcodeDesc,lsaa,lsaaDesc,lstt,district,lsmm,lsmmDesc,lsyymm,male,female,total
0,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,1,พระบรมมหาราชวัง,0, ,6512,1845,1292,3137
1,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,2,วังบูรพาภิรมย์,0, ,6512,4385,4407,8792
2,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,3,วัดราชบพิธ,0, ,6512,1310,1603,2913
3,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,4,สำราญราษฎร์,0, ,6512,1385,1327,2712
4,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,5,ศาลเจ้าพ่อเสือ,0, ,6512,1174,1573,2747
5,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,6,เสาชิงช้า,0, ,6512,902,1028,1930
6,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,7,บวรนิเวศ,0, ,6512,1685,2014,3699
7,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,8,ตลาดยอด,0, ,6512,910,1050,1960
8,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,9,ชนะสงคราม,0, ,6512,836,869,1705
9,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,10,บ้านพานถม,0, ,6512,2492,3125,5617
10,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,11,บางขุนพรหม,0, ,6512,1921,1914,3835
11,0,0,10,กรุงเทพมหานคร,1001,ท้องถิ่นเขตพระนคร,1, ,12,วัดสามพระยา,0, ,6512,1231,1368,2599
12,0,0,10,กรุงเทพมหานคร,1002,ท้องถิ่นเขตดุสิต,2, ,1,ดุสิต,0, ,6512,6241,4078,10319
13,0,0,10,กรุงเทพมหานคร,1002,ท้องถิ่นเขตดุสิต,2, ,2,วชิรพยาบาล,0, ,6512,4231,4991,9222
14,0,0,10,กรุงเทพมหานคร,1002,ท้องถิ่นเขตดุสิต,2, ,3,สวนจิตรลดา,0, ,6512,2914,3147,6061
15,0,0,10,กรุงเทพมหานคร,1002,ท้องถิ่นเขตดุสิต,2, ,4,สี่แยกมหานาค,0, ,6512,3317,3484,6801
16,0,0,10,กรุงเทพมหานคร,1002,ท้องถิ่นเขตดุสิต,2, ,6,ถนนนครไชยศรี,0, ,6512,25401,20798,46199
17,0,0,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,3, ,1,กระทุ่มราย,0, ,6512,19785,20864,40649
18,0,0,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,3, ,2,หนองจอก,0, ,6512,11412,12312,23724
19,0,0,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,3, ,3,คลองสิบ,0, ,6512,4620,4784,9404
20,0,0,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,3, ,4,คลองสิบสอง,0, ,6512,5870,6155,12025
21,0,0,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,3, ,5,โคกแฝด,0, ,6512,16994,17715,34709
22,0,0,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,3, ,6,คู้ฝั่งเหนือ,0, ,6512,8800,9275,18075
23,0,0,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,3, ,7,ลำผักชี,0, ,6512,15845,17181,33026
24,0,0,10,กรุงเทพมหานคร,1003,ท้องถิ่นเขตหนองจอก,3, ,8,ลำต้อยติ่ง,0, ,6512,4785,4970,9755
25,0,0,10,กรุงเทพมหานคร,1004,ท้องถิ่นเขตบางรัก,4, ,1,มหาพฤฒาราม,0, ,6512,4579,5440,10019
26,0,0,10,กรุงเทพมหานคร,1004,ท้องถิ่นเขตบางรัก,4, ,2,สีลม,0, ,6512,8234,8874,17108
27,0,0,10,กรุงเทพมหานคร,1004,ท้องถิ่นเขตบางรัก,4, ,3,สุริยวงศ์,0, ,6512,2042,2245,4287
28,0,0,10,กรุงเทพมหานคร,1004,ท้องถิ่นเขตบางรัก,4, ,4,บางรัก,0, ,6512,1196,1284,2480
29,0,0,10,กรุงเทพมหานคร,1004,ท้องถิ่นเขตบางรัก,4, ,5,สี่พระยา,0, ,6512,4565,5455,10020
30,0,0,10,กรุงเทพมหานคร,1005,ท้องถิ่นเขตบางเขน,5, ,2,อนุสาวรีย์,0, ,6512,41636,45610,87246
31,0,0,10,กรุงเทพมหานคร,1005,ท้องถิ่นเขตบางเขน,5, ,8,ท่าแร้ง,0, ,6512,45032,53091,98123
32,0,0,10,กรุงเทพมหานคร,1006,ท้องถิ่นเขตบางกะปิ,6, ,1,คลองจั่น,0, ,6512,33953,40510,74463
33,0,0,10,กรุงเทพมหานคร,1006,ท้องถิ่นเขตบางกะปิ,6, ,8,หัวหมาก,0, ,6512,30211,36815,67026
34,0,0,10,กรุงเทพมหานคร,1007,ท้องถิ่นเขตปทุมวัน,7, ,1,รองเมือง,0, ,6512,7437,8131,15568
35,0,0,10,กรุงเทพมหานคร,1007,ท้องถิ่นเขตปทุมวัน,7, ,2,วังใหม่,0, ,6512,2606,2712,5318
36,0,0,10,กรุงเทพมหานคร,1007,ท้องถิ่นเขตปทุมวัน,7, ,3,ปทุมวัน,0, ,6512,1242,1587,2829
37,0,0,10,กรุงเทพมหานคร,1007,ท้องถิ่นเขตปทุมวัน,7, ,4,ลุมพินี,0, ,6512,7910,9219,17129
38,0,0,10,กรุงเทพมหานคร,1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,8, ,1,ป้อมปราบ,0, ,6512,6211,6653,12864
39,0,0,10,กรุงเทพมหานคร,1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,8, ,2,วัดเทพศิรินทร์,0, ,6512,2939,2975,5914
40,0,0,10,กรุงเทพมหานคร,1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,8, ,3,คลองมหานาค,0, ,6512,3915,4344,8259
41,0,0,10,กรุงเทพมหานคร,1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,8, ,4,บ้านบาตร,0, ,6512,2997,2899,5896
42,0,0,10,กรุงเทพมหานคร,1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,8, ,5,วัดโสมนัส,0, ,6512,3132,3245,6377
43,0,0,10,กรุงเทพมหานคร,1009,ท้องถิ่นเขตพระโขนง,9, ,5,บางจาก,0, ,6512,28960,36146,65106
44,0,0,10,กรุงเทพมหานคร,1009,ท้องถิ่นเขตพระโขนง,9, ,10,พระโขนงใต้,0, ,6512,9757,11427,21184
45,0,0,10,กรุงเทพมหานคร,1010,ท้องถิ่นเขตมีนบุรี,10, ,1,มีนบุรี,0, ,6512,44648,51319,95967
46,0,0,10,กรุงเทพมหานคร,1010,ท้องถิ่นเขตมีนบุรี,10, ,2,แสนแสบ,0, ,6512,21753,23310,45063
47,0,0,10,กรุงเทพมหานคร,1011,ท้องถิ่นเขตลาดกระบัง,11, ,1,ลาดกระบัง,0, ,6512,14036,16155,30191
48,0,0,10,กรุงเทพมหานคร,1011,ท้องถิ่นเขตลาดกระบัง,11, ,2,คลองสองต้นนุ่น,0, ,6512,31535,35304,66839
49,0,0,10,กรุงเทพมหานคร,1011,ท้องถิ่นเขตลาดกระบัง,11, ,3,คลองสามประเวศ,0, ,6512,7445,8451,15896
50,0,0,10,กรุงเทพมหานคร,1011,ท้องถิ่นเขตลาดกระบัง,11, ,4,ลำปลาทิว,0, ,6512,12200,13390,25590
51,0,0,10,กรุงเทพมหานคร,1011,ท้องถิ่นเขตลาดกระบัง,11, ,5,ทับยาว,0, ,6512,15031,16499,31530
52,0,0,10,กรุงเทพมหานคร,1011,ท้องถิ่นเขตลาดกระบัง,11, ,6,ขุมทอง,0, ,6512,4088,4216,8304
53,0,0,10,กรุงเทพมหานคร,1012,ท้องถิ่นเขตยานนาวา,12, ,3,ช่องนนทรี,0, ,6512,21282,25383,46665
54,0,0,10,กรุงเทพมหานคร,1012,ท้องถิ่นเขตยานนาวา,12, ,4,บางโพงพาง,0, ,6512,13001,14448,27449
55,0,0,10,กรุงเทพมหานคร,1013,ท้องถิ่นเขตสัมพันธวงศ์,13, ,1,จักรวรรดิ,0, ,6512,2979,3064,6043
56,0,0,10,กรุงเทพมหานคร,1013,ท้องถิ่นเขตสัมพันธวงศ์,13, ,2,สัมพันธวงศ์,0, ,6512,3718,3900,7618
57,0,0,10,กรุงเทพมหานคร,1013,ท้องถิ่นเขตสัมพันธวงศ์,13, ,3,ตลาดน้อย,0, ,6512,3087,3420,6507
58,0,0,10,กรุงเทพมหานคร,1014,ท้องถิ่นเขตพญาไท,14, ,1,สามเสนใน,0, ,6512,15658,14506,30164
59,0,0,10,กรุงเทพมหานคร,1014,ท้องถิ่นเขตพญาไท,14, ,6,พญาไท,0, ,6512,16306,18805,35111
60,0,0,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,15, ,1,วัดกัลยาณ์,0, ,6512,3688,4219,7907
61,0,0,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,15, ,2,หิรัญรูจี,0, ,6512,5206,5915,11121
62,0,0,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,15, ,3,บางยี่เรือ,0, ,6512,9058,9840,18898
63,0,0,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,15, ,4,บุคคโล,0, ,6512,7597,8795,16392
64,0,0,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,15, ,5,ตลาดพลู,0, ,6512,6739,7964,14703
65,0,0,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,15, ,6,ดาวคะนอง,0, ,6512,7770,9012,16782
66,0,0,10,กรุงเทพมหานคร,1015,ท้องถิ่นเขตธนบุรี,15, ,7,สำเหร่,0, ,6512,6397,7391,13788
67,0,0,10,กรุงเทพมหานคร,1016,ท้องถิ่นเขตบางกอกใหญ่,16, ,1,วัดอรุณ,0, ,6512,5548,5772,11320
68,0,0,10,กรุงเทพมหานคร,1016,ท้องถิ่นเขตบางกอกใหญ่,16, ,2,วัดท่าพระ,0, ,6512,23186,27073,50259
69,0,0,10,กรุงเทพมหานคร,1017,ท้องถิ่นเขตห้วยขวาง,17, ,1,ห้วยขวาง,0, ,6512,11965,15144,27109
70,0,0,10,กรุงเทพมหานคร,1017,ท้องถิ่นเขตห้วยขวาง,17, ,2,บางกะปิ,0, ,6512,8848,10555,19403
71,0,0,10,กรุงเทพมหานคร,1017,ท้องถิ่นเขตห้วยขวาง,17, ,4,สามเสนนอก,0, ,6512,16456,20525,36981
72,0,0,10,กรุงเทพมหานคร,1018,ท้องถิ่นเขตคลองสาน,18, ,1,สมเด็จเจ้าพระยา,0, ,6512,5504,6237,11741
73,0,0,10,กรุงเทพมหานคร,1018,ท้องถิ่นเขตคลองสาน,18, ,2,คลองสาน,0, ,6512,6525,7147,13672
74,0,0,10,กรุงเทพมหานคร,1018,ท้องถิ่นเขตคลองสาน,18, ,3,บางลำภูล่าง,0, ,6512,10382,12361,22743
